,Date,Stocks
0,2019-03-29,FLC|HAI|DXG|GEX|CEO|REE|HBC|MSN|SBT|POW|DPM|BSR|LDG|VND|AMD|FRT|SJF|DIG|TCM|TTB|VJC|ASM|OIL|IDI|KSB|HAR
0,2019-04-01,FLC|HAI|DXG|GEX|CEO|REE|HBC|SBT|POW|DPM|BSR|LDG|VND|AMD|FRT|SJF|DIG|TCM|TTB|DRH|VJC|ASM|OIL|IDI|KSB|HAR
0,2019-04-02,FLC|HAI|FCN|DXG|VIC|CEO|SCR|REE|VPB|DPM|BSR|AMD|TCB|SHB|KBC|SJF|DIG|ACB|TTB|DRH|NVL|STB|VJC|ASM|OIL|IDI|KSB|HAR
0,2019-04-03,FLC|HAI|FCN|DXG|VIC|HCD|CEO|SCR|REE|VPB|DPM|PVT|BSR|ROS|DRC|HQC|MWG|AMD|TCB|SHB|DIG|ACB|TTB|DRH|NVL|STB|VJC|OIL|IDI|KSB|HCM|HAR
0,2019-04-04,HAI|VIC|SCR|LMH|VPB|DPM|PVT|ROS|DRC|MWG|HDB|TCB|DGW|CTG|TTB|NVL|MST|VJC|HCM
0,2019-04-05,HAI|VPB|DPM|PVT|ROS|DRC|HDB|TCB|DGW|CTG|TTB|MST|VJC|HCM
0,2019-04-08,HAI|VPB|DPM|PVT|ROS|DRC|HDB|TCB|DGW|CTG|TDH|MST|VJC|HCM
0,2019-04-09,HAI|VPB|DPM|PVT|ROS|DRC|HDB|TCB|DGW|CTG|TDH|VJC|HCM
0,2019-04-10,BVH|HAI|VPB|DPM|PVT|DRC|HDB|TCB|DGW|CTG|TDH|VJC|HCM
0,2019-04-11,BVH|HAI|VPB|DPM|DRC|HDB|TCB|DGW|CTG|VJC|HCM
0,2019-04-12,BVH|VPB|DPM|DRC|HDB|TCB|CTG|VJC|HCM
0,2019-04-16,BVH|VPB|DPM|DRC|TCB|CTG|VJC|HCM
0,2019-04-17,BVH|VPB|DPM|DRC|TCB|CTG|TSC|HCM|HAG
0,2019-04-18,BVH|HCD|VPB|DPM|DRC|TCB|CTG|HCM|HAR|OGC|APG|HAG
0,2019-04-19,BVH|FLC|CII|HCD|VPB|DPM|MBB|LDG|DRC|MWG|CTD|TCB|CTG|HSG|TCH|HCM|HAR|OGC|APG|HAG
0,2019-04-22,BVH|FLC|CII|PHR|VIC|HCD|VPB|DPM|MBB|LDG|LPB|DRC|MWG|CTD|TCB|CTG|ITA|HSG|TCH|HCM|HAR|OGC|APG|HAG
0,2019-04-23,BVH|FLC|CII|GEX|PHR|HCD|DLG|VPB|POW|DPM|MBB|HHS|LDG|LPB|DRC|CTD|TCB|CTG|ITA|HSG|TCH|DRH|BID|STB|HCM|HAR|OGC|APG
0,2019-04-24,BVH|FLC|CII|DCM|GEX|PHR|SCR|DLG|VGI|HBC|VPB|POW|DPM|MBB|HHS|LPB|DRC|AMD|CTD|SSI|TCB|CTG|ITA|HSG|VNM|TCH|PNJ|DRH|BID|OIL|HCM|HAR|OGC|HUT|APG
