ID,Action,Budget,Date,Price,Profit,Stock,TradeFee,Value,Volume
2020-05-05-GTN,Buy,15619.415999999996,2020-05-05,16.1,0.0,GTN,12.075,4830.0,300.0
2020-05-06-QCG,Buy,20317.131,2020-05-06,7.81,0.0,QCG,11.715,4686.0,600.0
2020-05-06-PLX,Buy,24522.619,2020-05-06,41.95,0.0,PLX,10.488,4195.0,100.0
2020-05-06-GAS,Buy,27961.194,2020-05-06,68.6,0.0,GAS,8.575,3429.9999999999995,50.0
2020-05-08-GTN,Sell,22948.756,2020-05-08,16.75,169.87599999999995,GTN,12.562,5025.0,300.0
2020-05-11-QCG,Sell,18190.681,2020-05-11,7.95,60.15,QCG,11.925,4770.0,600.0
2020-05-11-PLX,Sell,13771.756,2020-05-11,44.3,212.85,PLX,11.075,4430.0,100.0
2020-05-11-GAS,Sell,10130.881,2020-05-11,73.0,201.75,GAS,9.125,3650.0,50.0
2020-05-13-DRH,Buy,15018.069,2020-05-13,6.5,0.0,DRH,12.188,4875.0,750.0
2020-05-14-GEX,Buy,19950.369,2020-05-14,16.4,0.0,GEX,12.3,4920.0,300.0
2020-05-18-DRH,Sell,15282.069000000005,2020-05-18,6.24,-218.4,DRH,11.7,4680.0,750.0
2020-05-19-GEX,Sell,10105.044000000004,2020-05-19,17.3,244.05,GEX,12.975,5190.0,300.0
2020-05-19-CTG,Buy,14576.194000000005,2020-05-19,22.3,0.0,CTG,11.15,4460.0,200.0
2020-05-22-CTG,Sell,10027.594000000003,2020-05-22,22.8,77.2,CTG,11.4,4560.0,200.0
2020-05-25-NKG,Buy,14659.144000000002,2020-05-25,7.7,0.0,NKG,11.55,4620.0,600.0
2020-05-26-POW,Buy,19441.069,2020-05-26,10.6,0.0,POW,11.925,4770.0,450.0
2020-05-26-GTN,Buy,23914.725,2020-05-26,17.85,0.0,GTN,11.156,4462.5,250.0
2020-05-27-CTD,Buy,27628.987,2020-05-27,74.1,0.0,CTD,9.262,3705.0,50.0
2020-05-27-HVN,Buy,31839.487,2020-05-27,28.0,0.0,HVN,10.5,4200.0,150.0
2020-05-28-NKG,Sell,27225.052000000003,2020-05-28,7.71,-17.13,NKG,11.565,4626.0,600.0
2020-05-29-POW,Sell,22624.082999999995,2020-05-29,10.25,-180.562,POW,11.530999999999999,4612.5,450.0
2020-05-29-GTN,Sell,18359.770999999993,2020-05-29,17.1,-208.87599999999998,GTN,10.687999999999999,4275.0,250.0
2020-05-29-TTB,Buy,23254.97899999999,2020-05-29,5.14,0.0,TTB,12.208,4883.0,950.0
2020-05-29-DBC,Buy,27395.303999999996,2020-05-29,41.3,0.0,DBC,10.325,4130.0,100.0
2020-06-01-CTD,Sell,27395.303999999993,2020-06-01,0.0,-3705.0,CTD,0.0,0.0,50.0
2020-06-01-HVN,Sell,27395.303999999993,2020-06-01,0.0,-4200.0,HVN,0.0,0.0,150.0
2020-06-01-VHM,Buy,31360.191999999992,2020-06-01,79.1,0.0,VHM,9.888,3954.9999999999995,50.0
