Date,Sell,Buy,BuyMore
2020-04-10,BVH|TIG|PDR|CII|VIC|CEO|SCR|DLG|VGI|TPB|VIB|NVB|LMH|HBC|VPB|AAA|MBB|HHS|HQC|HPG|MWG|HDB|CTD|SSI|TCB|CTG|KBC|GTN|ITA|TNI|TTF|KLF|ACB|FPT|BID|STB|EIB|HUT,PHR|MSN|DPM|PLX|SHS|GAS|PVD|MBG|TNG|VCB|SHB|GVR|TCM|VNM|TCH|DBC|VJC|VRE|KSB|HCM|NLG|VHM|HVN,VND|AMD
2020-04-09,TIG|CII|DXG|VIC|CEO|SCR|DLG|TPB|NVB|REE|LMH|HBC|VPB|SBT|PVT|PLX|HHS|BSR|LDG|LPB|HPG|SSI|TCB|CTG|KBC|ITA|TNI|DIG|TTF|KLF|ACB|FIT|TTB|FPT|DRH|NVL|TSC|OIL|EIB|HUT|HVN,BVH|PHR|MSN|DPM|SHS|GAS|PVD|PVS|DRC|MBG|TNG|MWG|VCB|CTD|DGW|FRT|SHB|TCM|VNM|TCH|PNJ|BID|VJC|VRE|HCM|NLG|VHM|APG,TPB|PVX|DBC
2020-04-08,CII|DXG|SCR|DLG|NVB|LMH|VPB|PLX|HHS|LDG|DRC|GTN|ITA|TNI|SJF|DIG|TTF|KLF|FIT|TTB|DRH|PVX|TSC|VJC|OIL|KSB|HAR|EIB|HUT,BVH|GEX|PHR|VIC|VGI|REE|MSN|POW|DPM|MBB|GAS|PVD|PVS|MBG|HPG|TNG|MWG|VCB|HDB|CTD|SSI|TCB|DGW|FRT|SHB|CTG|ACB|TCM|VNM|TCH|PNJ|FPT|BID|STB|VRE|HCM|VHM,QCG|KLF|NVL|OGC|NLG
2020-04-07,CII|SCR|VIB|HBC|PLX|HHS|BSR|LPB|HQC|SJF|DIG|ACB|FIT|PVX|DBC|TSC|VJC|NLG,BVH|FCN|PHR|VIC|VGI|REE|MSN|AAA|PVT|MBB|SHS|GAS|PVD|PVS|MBG|HPG|TNG|MWG|VCB|HDB|CTD|SSI|TCB|DGW|FRT|SHB|CTG|GTN|TCM|HSG|VNM|TCH|PNJ|FPT|BID|STB|VRE|KSB|HCM|VHM|HVN,ART|FLC|PDR|DXG|JVC|DLG|NVB|LMH|VPB|PVD|LDG|ROS|DRC|CTD|ITA|TNI|TTF|TCH|TTB|DRH|ASM|OIL|IDI|HAR|EIB|VHM|HUT|APG
2020-04-06,PVX|DBC|NLG,BVH|VIC|VGI|REE|MSN|DPM|PVT|PLX|GAS|HPG|MWG|VCB|HDB|SSI|DGW|FRT|SHB|KBC|GTN|VNM|PNJ|FPT|BID|VJC|HVN,CII|DCM|PHR|CEO|SCR|VGI|VIB|REE|HBC|SBT|POW|AAA|PLX|MBB|SHS|HHS|GAS|BSR|PVS|LPB|HDC|MBG|HQC|TNG|MWG|HDB|SSI|TCB|CTG|SJF|DIG|GVR|ACB|TCM|HSG|NKG|FIT|PNJ|FPT|STB|TDH|TSC|KSB|HCM|HVN
2020-04-05,,,
2020-04-04,,,
2020-04-03,TIG|VCB|NLG,BVH|VIC|MSN|VCB|VNM|VJC,FCN|GEX|MSN|PVT|HPG|DGW|FRT|BID|PVX|VRE|HAG
2020-04-02,,,
2020-04-01,TIG|VIC|HCD|MSN|VCB|KBC|VNM|NVL|VRE|NLG,BVH|VCB|DBC,SHB|VJC
2020-03-31,BVH|TIG|PDR|VIC|MSN|DPM|GAS|HDC|VCB|SHB|KBC|GTN|TNI|VNM|VRE|NLG|APG,DBC,HCD|MSN|DPM
2020-03-30,BVH|BVH|TIG|TIG|ART|FLC|PDR|PDR|HAI|FCN|CII|DCM|DXG|JVC|GEX|PHR|VIC|HCD|CEO|SCR|SCR|DLG|VGI|QCG|TPB|VIB|NVB|REE|LMH|HBC|MSN|VPB|SBT|POW|DPM|AAA|PVT|PLX|PLX|MBB|SHS|HHS|GAS|GAS|BSR|PVD|PVS|LDG|ROS|LPB|DRC|VND|HDC|HDC|MBG|HQC|HPG|TNG|MWG|VCB|VCB|HDB|AMD|CTD|SSI|TCB|DGW|FRT|SHB|SHB|CTG|KBC|KBC|GTN|GTN|ITA|TNI|TNI|SJF|DIG|TTF|GVR|KLF|ACB|TCM|HSG|NKG|VNM|VNM|TCH|FIT|PNJ|TTB|FPT|DRH|BID|BID|PVX|NVL|NVL|STB|DBC|TDH|MST|TSC|VJC|VRE|ASM|OIL|OIL|IDI|KSB|HCM|HAR|OGC|EIB|NLG|NLG|VHM|HUT|HVN|APG|APG|HAG,,PDR|VIC|VRE
2020-03-29,,,
2020-03-28,,,
2020-03-27,BVH|TPB|GAS|NVL|OIL|APG,,TIG|PLX|VCB|KBC|VNM|BID|NLG
2020-03-26,TPB|KLF|NVL,GTN,BVH|SCR|GAS|HDC|DBC|APG
2020-03-25,DCM|GEX|DLG|TPB|KLF|NVL|OIL,,GTN
2020-03-24,FCN|DCM|GEX|DLG|REE|DPM|PLX|ROS|TNI|KLF|TTB|PVX|OIL|HUT,TPB,NVL
2020-03-23,ART|FLC|HAI|FCN|DCM|GEX|HCD|SCR|DLG|QCG|TPB|REE|DPM|AAA|PLX|ROS|HQC|AMD|SHB|ITA|TNI|SJF|TTF|FIT|TTB|PVX|TSC|OIL|HAR|HUT,,
2020-03-22,,,
2020-03-21,,,
2020-03-20,ART|FLC|HAI|DCM|GEX|HCD|QCG|NVB|REE|DPM|AAA|PLX|SHS|HQC|AMD|ITA|SJF|TTF|FIT|TSC|OIL|HAR,TPB|SHB,FCN|SCR|ROS|TTB|PVX
